dataset,class,S_cov_class,S_cov_null,S_cov_aggregate,n_src,n_tgt,estimable
nslkdd,Normal,0.7886484070931091,0.5010690588442321,0.8933994030374052,10101,9711,True
nslkdd,DoS,0.9594616991154705,0.49891861875164334,0.8933994030374052,6889,7460,True
nslkdd,Probe,0.9794491316297294,0.49655593638414164,0.8933994030374052,1748,2421,True
nslkdd,R2L,0.9905057471264367,0.49207478017091966,0.8933994030374052,149,2885,True
nslkdd,U2R,,,0.8933994030374052,7,67,False
ugr16,background,0.669629675,0.4983385720095764,0.7129436375,30000,200000,True
ugr16,dos,0.5423572888888889,0.5003949173950994,0.7129436375,7500,50000,True
ugr16,nerisbotnet,0.5781515555555556,0.4985102437111264,0.7129436375,7500,50000,True
ugr16,scan11,0.9996772,0.4981811043678953,0.7129436375,7500,50000,True
ugr16,scan44,0.9860599999999999,0.4996171276645408,0.7129436375,7500,50000,True
ciciot2023,Benign,0.49189608830029224,0.5027994407631645,0.5122679874999999,6299,17999,True
ciciot2023,BruteForce,0.5097513888956161,0.5033810317894061,0.5122679874999999,1371,3919,True
ciciot2023,DDoS,0.49486861875,0.49950967965870996,0.5122679874999999,68476,195662,True
ciciot2023,DoS,0.49936338125000007,0.49900956515363404,0.5122679874999999,25215,72046,True
ciciot2023,Mirai,0.4958027531121151,0.5017681348942865,0.5122679874999999,18953,54156,True
ciciot2023,Recon,0.50253955625,0.49891347119025076,0.5122679874999999,23055,65879,True
ciciot2023,Spoofing,0.49844299609895304,0.5006129289437595,0.5122679874999999,12575,35934,True
ciciot2023,Web,0.6535553861426323,0.4982791114468575,0.5122679874999999,2135,10579,True
