dataset,class,S_cov_class,S_cov_null,S_cov_aggregate,n_src,n_tgt,estimable,coverage,undercoverage,excess
nslkdd,Normal,0.7886484070931091,0.5010690588442321,0.8933994030374052,10101,9711,True,0.9268402777777777,0.02315972222222229,0.287579348248877
nslkdd,DoS,0.9594616991154705,0.49891861875164334,0.8933994030374052,6889,7460,True,0.39876378933089374,0.5512362106691062,0.4605430803638272
nslkdd,Probe,0.9794491316297294,0.49655593638414164,0.8933994030374052,1748,2421,True,0.6278059099362795,0.32219409006372046,0.4828931952455877
nslkdd,R2L,0.9905057471264367,0.49207478017091966,0.8933994030374052,149,2885,True,0.02981848141104289,0.920181518588957,0.49843096695551703
ugr16,background,0.669629675,0.4983385720095764,0.7129436375,30000,200000,True,0.9491499999999999,0.0008500000000000174,0.17129110299042366
ugr16,dos,0.5423572888888889,0.5003949173950994,0.7129436375,7500,50000,True,0.9503233333333333,-0.00032333333333334213,0.04196237149378945
ugr16,nerisbotnet,0.5781515555555556,0.4985102437111264,0.7129436375,7500,50000,True,0.9472833333333334,0.0027166666666665895,0.07964131184442924
ugr16,scan11,0.9996772,0.4981811043678953,0.7129436375,7500,50000,True,0.5350233333333333,0.41497666666666666,0.5014960956321047
ugr16,scan44,0.9860599999999999,0.4996171276645408,0.7129436375,7500,50000,True,0.7990233333333333,0.15097666666666665,0.48644287233545913
ciciot2023,Benign,0.49189608830029224,0.5027994407631645,0.5122679874999999,6299,17999,True,0.9505799641726637,-0.000579964172663705,-0.010903352462872273
ciciot2023,BruteForce,0.5097513888956161,0.5033810317894061,0.5122679874999999,1371,3919,True,0.9558129005818419,-0.005812900581841918,0.006370357106210034
ciciot2023,DDoS,0.49486861875,0.49950967965870996,0.5122679874999999,68476,195662,True,0.9500033294205956,-3.3294205956657663e-06,-0.004641060908709971
ciciot2023,DoS,0.49936338125000007,0.49900956515363404,0.5122679874999999,25215,72046,True,0.9498612247829219,0.00013877521707805762,0.00035381609636603306
ciciot2023,Mirai,0.4958027531121151,0.5017681348942865,0.5122679874999999,18953,54156,True,0.950362697674883,-0.00036269767488306126,-0.0059653817821714306
ciciot2023,Recon,0.50253955625,0.49891347119025076,0.5122679874999999,23055,65879,True,0.9497292995008668,0.0002707004991331363,0.003626085059749262
ciciot2023,Spoofing,0.49844299609895304,0.5006129289437595,0.5122679874999999,12575,35934,True,0.9528379475048357,-0.0028379475048357916,-0.002169932844806488
ciciot2023,Web,0.6535553861426323,0.4982791114468575,0.5122679874999999,2135,10579,True,0.9519120427455815,-0.0019120427455815436,0.15527627469577482
