dataset,environment,seed,arch,protocol,class,alpha,coverage,set_size,nominal
ugr16,july_to_august,12345,mlp,REC,background,0.05,0.9502,1.1467,0.95
ugr16,july_to_august,12345,mlp,REC,dos,0.05,0.9494,0.959,0.95
ugr16,july_to_august,12345,mlp,REC,nerisbotnet,0.05,0.9496,1.4874,0.95
ugr16,july_to_august,12345,mlp,REC,scan11,0.05,0.9504,1.8982,0.95
ugr16,july_to_august,12345,mlp,REC,scan44,0.05,0.9512,1.7404,0.95
ugr16,july_to_august,12345,mlp,REC,background,0.1,0.9005,1.0556,0.9
ugr16,july_to_august,12345,mlp,REC,dos,0.1,0.8978,0.8994,0.9
ugr16,july_to_august,12345,mlp,REC,nerisbotnet,0.1,0.8988,1.4131,0.9
ugr16,july_to_august,12345,mlp,REC,scan11,0.1,0.9015,1.7678,0.9
ugr16,july_to_august,12345,mlp,REC,scan44,0.1,0.9002,1.6242,0.9
ugr16,july_to_august,12345,mlp,REC,background,0.2,0.7991,0.9203,0.8
ugr16,july_to_august,12345,mlp,REC,dos,0.2,0.7991,0.7991,0.8
ugr16,july_to_august,12345,mlp,REC,nerisbotnet,0.2,0.8006,1.2912,0.8
ugr16,july_to_august,12345,mlp,REC,scan11,0.2,0.8009,1.5319,0.8
ugr16,july_to_august,12345,mlp,REC,scan44,0.2,0.8021,1.4403,0.8
ugr16,july_to_august,12345,mlp,TSC,background,0.05,0.9497,1.147,0.95
ugr16,july_to_august,12345,mlp,TSC,dos,0.05,0.9489,0.9584,0.95
ugr16,july_to_august,12345,mlp,TSC,nerisbotnet,0.05,0.9503,1.4877,0.95
ugr16,july_to_august,12345,mlp,TSC,scan11,0.05,0.9499,1.8948,0.95
ugr16,july_to_august,12345,mlp,TSC,scan44,0.05,0.9497,1.7371,0.95
ugr16,july_to_august,12345,mlp,TSC,background,0.1,0.9001,1.0555,0.9
ugr16,july_to_august,12345,mlp,TSC,dos,0.1,0.8985,0.9002,0.9
ugr16,july_to_august,12345,mlp,TSC,nerisbotnet,0.1,0.8999,1.414,0.9
ugr16,july_to_august,12345,mlp,TSC,scan11,0.1,0.8989,1.7656,0.9
ugr16,july_to_august,12345,mlp,TSC,scan44,0.1,0.9003,1.6223,0.9
ugr16,july_to_august,12345,mlp,TSC,background,0.2,0.8001,0.9216,0.8
ugr16,july_to_august,12345,mlp,TSC,dos,0.2,0.7961,0.7961,0.8
ugr16,july_to_august,12345,mlp,TSC,nerisbotnet,0.2,0.8018,1.2925,0.8
ugr16,july_to_august,12345,mlp,TSC,scan11,0.2,0.801,1.5288,0.8
ugr16,july_to_august,12345,mlp,TSC,scan44,0.2,0.7991,1.4374,0.8
ugr16,july_to_august,12345,mlp,SHC,background,0.05,0.9431,1.1296,0.95
ugr16,july_to_august,12345,mlp,SHC,dos,0.05,0.9485,0.9552,0.95
ugr16,july_to_august,12345,mlp,SHC,nerisbotnet,0.05,0.9436,1.476,0.95
ugr16,july_to_august,12345,mlp,SHC,scan11,0.05,0.8509,1.733,0.95
ugr16,july_to_august,12345,mlp,SHC,scan44,0.05,0.9095,1.6019,0.95
ugr16,july_to_august,12345,mlp,SHC,background,0.1,0.8867,1.0358,0.9
ugr16,july_to_august,12345,mlp,SHC,dos,0.1,0.8973,0.8986,0.9
ugr16,july_to_august,12345,mlp,SHC,nerisbotnet,0.1,0.8882,1.3985,0.9
ugr16,july_to_august,12345,mlp,SHC,scan11,0.1,0.7705,1.5387,0.9
ugr16,july_to_august,12345,mlp,SHC,scan44,0.1,0.8297,1.4431,0.9
ugr16,july_to_august,12345,mlp,SHC,background,0.2,0.7758,0.8874,0.8
ugr16,july_to_august,12345,mlp,SHC,dos,0.2,0.7949,0.7949,0.8
ugr16,july_to_august,12345,mlp,SHC,nerisbotnet,0.2,0.7739,1.2606,0.8
ugr16,july_to_august,12345,mlp,SHC,scan11,0.2,0.6252,1.2321,0.8
ugr16,july_to_august,12345,mlp,SHC,scan44,0.2,0.707,1.1974,0.8
ugr16,july_to_august,1337,mlp,REC,background,0.05,0.9492,1.1473,0.95
ugr16,july_to_august,1337,mlp,REC,dos,0.05,0.9499,0.9585,0.95
ugr16,july_to_august,1337,mlp,REC,nerisbotnet,0.05,0.9488,1.4703,0.95
ugr16,july_to_august,1337,mlp,REC,scan11,0.05,0.9515,1.8786,0.95
ugr16,july_to_august,1337,mlp,REC,scan44,0.05,0.9496,1.7511,0.95
ugr16,july_to_august,1337,mlp,REC,background,0.1,0.8992,1.0486,0.9
ugr16,july_to_august,1337,mlp,REC,dos,0.1,0.9004,0.9057,0.9
ugr16,july_to_august,1337,mlp,REC,nerisbotnet,0.1,0.8992,1.4064,0.9
ugr16,july_to_august,1337,mlp,REC,scan11,0.1,0.9009,1.7559,0.9
ugr16,july_to_august,1337,mlp,REC,scan44,0.1,0.8998,1.623,0.9
ugr16,july_to_august,1337,mlp,REC,background,0.2,0.8012,0.9215,0.8
ugr16,july_to_august,1337,mlp,REC,dos,0.2,0.8016,0.8044,0.8
ugr16,july_to_august,1337,mlp,REC,nerisbotnet,0.2,0.7994,1.2869,0.8
ugr16,july_to_august,1337,mlp,REC,scan11,0.2,0.8024,1.5187,0.8
ugr16,july_to_august,1337,mlp,REC,scan44,0.2,0.7992,1.4372,0.8
ugr16,july_to_august,1337,mlp,TSC,background,0.05,0.9496,1.1473,0.95
ugr16,july_to_august,1337,mlp,TSC,dos,0.05,0.9509,0.9595,0.95
ugr16,july_to_august,1337,mlp,TSC,nerisbotnet,0.05,0.9485,1.4703,0.95
ugr16,july_to_august,1337,mlp,TSC,scan11,0.05,0.9504,1.878,0.95
ugr16,july_to_august,1337,mlp,TSC,scan44,0.05,0.9495,1.7503,0.95
ugr16,july_to_august,1337,mlp,TSC,background,0.1,0.8997,1.0488,0.9
ugr16,july_to_august,1337,mlp,TSC,dos,0.1,0.8994,0.9048,0.9
ugr16,july_to_august,1337,mlp,TSC,nerisbotnet,0.1,0.8982,1.4054,0.9
ugr16,july_to_august,1337,mlp,TSC,scan11,0.1,0.9006,1.7551,0.9
ugr16,july_to_august,1337,mlp,TSC,scan44,0.1,0.8991,1.6221,0.9
ugr16,july_to_august,1337,mlp,TSC,background,0.2,0.7996,0.9195,0.8
ugr16,july_to_august,1337,mlp,TSC,dos,0.2,0.7987,0.8015,0.8
ugr16,july_to_august,1337,mlp,TSC,nerisbotnet,0.2,0.7987,1.286,0.8
ugr16,july_to_august,1337,mlp,TSC,scan11,0.2,0.8023,1.5212,0.8
ugr16,july_to_august,1337,mlp,TSC,scan44,0.2,0.8007,1.4385,0.8
ugr16,july_to_august,1337,mlp,SHC,background,0.05,0.9434,1.1308,0.95
ugr16,july_to_august,1337,mlp,SHC,dos,0.05,0.9509,0.9591,0.95
ugr16,july_to_august,1337,mlp,SHC,nerisbotnet,0.05,0.9426,1.4626,0.95
ugr16,july_to_august,1337,mlp,SHC,scan11,0.05,0.8192,1.6882,0.95
ugr16,july_to_august,1337,mlp,SHC,scan44,0.05,0.9057,1.5974,0.95
ugr16,july_to_august,1337,mlp,SHC,background,0.1,0.8891,1.0327,0.9
ugr16,july_to_august,1337,mlp,SHC,dos,0.1,0.8986,0.9033,0.9
ugr16,july_to_august,1337,mlp,SHC,nerisbotnet,0.1,0.8867,1.3902,0.9
ugr16,july_to_august,1337,mlp,SHC,scan11,0.1,0.709,1.4618,0.9
ugr16,july_to_august,1337,mlp,SHC,scan44,0.1,0.8221,1.4102,0.9
ugr16,july_to_august,1337,mlp,SHC,background,0.2,0.7773,0.8869,0.8
ugr16,july_to_august,1337,mlp,SHC,dos,0.2,0.7983,0.8006,0.8
ugr16,july_to_august,1337,mlp,SHC,nerisbotnet,0.2,0.7692,1.2529,0.8
ugr16,july_to_august,1337,mlp,SHC,scan11,0.2,0.4965,1.1285,0.8
ugr16,july_to_august,1337,mlp,SHC,scan44,0.2,0.7199,1.1504,0.8
ugr16,july_to_august,2024,mlp,REC,background,0.05,0.9504,1.1492,0.95
ugr16,july_to_august,2024,mlp,REC,dos,0.05,0.9515,0.9772,0.95
ugr16,july_to_august,2024,mlp,REC,nerisbotnet,0.05,0.9478,1.4832,0.95
ugr16,july_to_august,2024,mlp,REC,scan11,0.05,0.9497,1.88,0.95
ugr16,july_to_august,2024,mlp,REC,scan44,0.05,0.9504,1.7359,0.95
ugr16,july_to_august,2024,mlp,REC,background,0.1,0.9004,1.0548,0.9
ugr16,july_to_august,2024,mlp,REC,dos,0.1,0.9009,0.9016,0.9
ugr16,july_to_august,2024,mlp,REC,nerisbotnet,0.1,0.8972,1.4172,0.9
ugr16,july_to_august,2024,mlp,REC,scan11,0.1,0.8996,1.7601,0.9
ugr16,july_to_august,2024,mlp,REC,scan44,0.1,0.9006,1.6459,0.9
ugr16,july_to_august,2024,mlp,REC,background,0.2,0.8006,0.9257,0.8
ugr16,july_to_august,2024,mlp,REC,dos,0.2,0.8022,0.8022,0.8
ugr16,july_to_august,2024,mlp,REC,nerisbotnet,0.2,0.798,1.2981,0.8
ugr16,july_to_august,2024,mlp,REC,scan11,0.2,0.8004,1.546,0.8
ugr16,july_to_august,2024,mlp,REC,scan44,0.2,0.8011,1.4831,0.8
ugr16,july_to_august,2024,mlp,TSC,background,0.05,0.9502,1.1498,0.95
ugr16,july_to_august,2024,mlp,TSC,dos,0.05,0.9485,0.9746,0.95
ugr16,july_to_august,2024,mlp,TSC,nerisbotnet,0.05,0.9483,1.4836,0.95
ugr16,july_to_august,2024,mlp,TSC,scan11,0.05,0.9508,1.8795,0.95
ugr16,july_to_august,2024,mlp,TSC,scan44,0.05,0.9497,1.7361,0.95
ugr16,july_to_august,2024,mlp,TSC,background,0.1,0.9008,1.0552,0.9
ugr16,july_to_august,2024,mlp,TSC,dos,0.1,0.8986,0.8992,0.9
ugr16,july_to_august,2024,mlp,TSC,nerisbotnet,0.1,0.8976,1.4178,0.9
ugr16,july_to_august,2024,mlp,TSC,scan11,0.1,0.8999,1.7596,0.9
ugr16,july_to_august,2024,mlp,TSC,scan44,0.1,0.8997,1.6453,0.9
ugr16,july_to_august,2024,mlp,TSC,background,0.2,0.8012,0.9262,0.8
ugr16,july_to_august,2024,mlp,TSC,dos,0.2,0.7986,0.7986,0.8
ugr16,july_to_august,2024,mlp,TSC,nerisbotnet,0.2,0.797,1.2972,0.8
ugr16,july_to_august,2024,mlp,TSC,scan11,0.2,0.8009,1.5474,0.8
ugr16,july_to_august,2024,mlp,TSC,scan44,0.2,0.802,1.4841,0.8
ugr16,july_to_august,2024,mlp,SHC,background,0.05,0.9445,1.1283,0.95
ugr16,july_to_august,2024,mlp,SHC,dos,0.05,0.9507,0.9647,0.95
ugr16,july_to_august,2024,mlp,SHC,nerisbotnet,0.05,0.9408,1.4717,0.95
ugr16,july_to_august,2024,mlp,SHC,scan11,0.05,0.7955,1.7046,0.95
ugr16,july_to_august,2024,mlp,SHC,scan44,0.05,0.936,1.6152,0.95
ugr16,july_to_august,2024,mlp,SHC,background,0.1,0.8883,1.0362,0.9
ugr16,july_to_august,2024,mlp,SHC,dos,0.1,0.9,0.9001,0.9
ugr16,july_to_august,2024,mlp,SHC,nerisbotnet,0.1,0.8821,1.3992,0.9
ugr16,july_to_august,2024,mlp,SHC,scan11,0.1,0.6621,1.4973,0.9
ugr16,july_to_august,2024,mlp,SHC,scan44,0.1,0.8812,1.4764,0.9
ugr16,july_to_august,2024,mlp,SHC,background,0.2,0.7788,0.8932,0.8
ugr16,july_to_august,2024,mlp,SHC,dos,0.2,0.8007,0.8007,0.8
ugr16,july_to_august,2024,mlp,SHC,nerisbotnet,0.2,0.7671,1.261,0.8
ugr16,july_to_august,2024,mlp,SHC,scan11,0.2,0.5243,1.2329,0.8
ugr16,july_to_august,2024,mlp,SHC,scan44,0.2,0.7701,1.2699,0.8
ugr16,july_to_august,3407,mlp,REC,background,0.05,0.9502,1.1395,0.95
ugr16,july_to_august,3407,mlp,REC,dos,0.05,0.9507,0.9518,0.95
ugr16,july_to_august,3407,mlp,REC,nerisbotnet,0.05,0.95,1.4689,0.95
ugr16,july_to_august,3407,mlp,REC,scan11,0.05,0.9481,1.9022,0.95
ugr16,july_to_august,3407,mlp,REC,scan44,0.05,0.9506,1.7204,0.95
ugr16,july_to_august,3407,mlp,REC,background,0.1,0.9001,1.0515,0.9
ugr16,july_to_august,3407,mlp,REC,dos,0.1,0.9016,0.9016,0.9
ugr16,july_to_august,3407,mlp,REC,nerisbotnet,0.1,0.8993,1.4026,0.9
ugr16,july_to_august,3407,mlp,REC,scan11,0.1,0.8988,1.7754,0.9
ugr16,july_to_august,3407,mlp,REC,scan44,0.1,0.9003,1.6171,0.9
ugr16,july_to_august,3407,mlp,REC,background,0.2,0.8001,0.9211,0.8
ugr16,july_to_august,3407,mlp,REC,dos,0.2,0.8015,0.8015,0.8
ugr16,july_to_august,3407,mlp,REC,nerisbotnet,0.2,0.8018,1.2833,0.8
ugr16,july_to_august,3407,mlp,REC,scan11,0.2,0.7993,1.5364,0.8
ugr16,july_to_august,3407,mlp,REC,scan44,0.2,0.7992,1.4205,0.8
ugr16,july_to_august,3407,mlp,TSC,background,0.05,0.9499,1.1384,0.95
ugr16,july_to_august,3407,mlp,TSC,dos,0.05,0.9499,0.951,0.95
ugr16,july_to_august,3407,mlp,TSC,nerisbotnet,0.05,0.9493,1.4681,0.95
ugr16,july_to_august,3407,mlp,TSC,scan11,0.05,0.947,1.8989,0.95
ugr16,july_to_august,3407,mlp,TSC,scan44,0.05,0.949,1.7179,0.95
ugr16,july_to_august,3407,mlp,TSC,background,0.1,0.9001,1.051,0.9
ugr16,july_to_august,3407,mlp,TSC,dos,0.1,0.8996,0.8996,0.9
ugr16,july_to_august,3407,mlp,TSC,nerisbotnet,0.1,0.8978,1.4013,0.9
ugr16,july_to_august,3407,mlp,TSC,scan11,0.1,0.8998,1.7741,0.9
