dataset,focal,alpha,protocol,focal_coverage,focal_set_size
nslkdd,R2L,0.05,REC,0.9563,4.6794
nslkdd,R2L,0.05,TSC,0.9531,4.6779
nslkdd,R2L,0.05,SHC,0.0298,2.0448
nslkdd,R2L,0.1,REC,0.9057,4.2016
nslkdd,R2L,0.1,TSC,0.9026,4.1951
nslkdd,R2L,0.1,SHC,0.0231,1.9627
nslkdd,R2L,0.2,REC,0.8046,3.0585
nslkdd,R2L,0.2,TSC,0.8036,3.1465
nslkdd,R2L,0.2,SHC,0.0168,1.0374
cicids2017,DoS,0.05,REC,0.9875,1.449
cicids2017,DoS,0.05,TSC,0.9876,1.4491
cicids2017,DoS,0.05,SHC,0.6039,1.0655
cicids2017,DoS,0.1,REC,0.9731,1.4067
cicids2017,DoS,0.1,TSC,0.9732,1.4068
cicids2017,DoS,0.1,SHC,0.5565,0.9901
cicids2017,DoS,0.2,REC,0.9297,1.3114
cicids2017,DoS,0.2,TSC,0.9295,1.3112
cicids2017,DoS,0.2,SHC,0.4786,0.8603
ugr16,nerisbotnet,0.05,REC,0.9499,1.7696
ugr16,nerisbotnet,0.05,TSC,0.9497,1.7728
ugr16,nerisbotnet,0.05,SHC,0.9473,1.1432
ugr16,nerisbotnet,0.1,REC,0.8999,1.6423
ugr16,nerisbotnet,0.1,TSC,0.8997,1.642
ugr16,nerisbotnet,0.1,SHC,0.8953,1.0724
ugr16,nerisbotnet,0.2,REC,0.8,0.9698
ugr16,nerisbotnet,0.2,TSC,0.7997,0.9694
ugr16,nerisbotnet,0.2,SHC,0.7904,0.9585
