dataset,environment,alpha,class,source_calib_n,min_calib_needed,feasible
ugr16,july_to_august,0.05,background,30000,19,True
ugr16,july_to_august,0.05,dos,7500,19,True
ugr16,july_to_august,0.05,scan11,7500,19,True
ugr16,july_to_august,0.05,scan44,7500,19,True
ugr16,july_to_august,0.05,nerisbotnet,7500,19,True
ugr16,july_to_august,0.1,background,30000,9,True
ugr16,july_to_august,0.1,dos,7500,9,True
ugr16,july_to_august,0.1,scan11,7500,9,True
ugr16,july_to_august,0.1,scan44,7500,9,True
ugr16,july_to_august,0.1,nerisbotnet,7500,9,True
ugr16,july_to_august,0.2,background,30000,4,True
ugr16,july_to_august,0.2,dos,7500,4,True
ugr16,july_to_august,0.2,scan11,7500,4,True
ugr16,july_to_august,0.2,scan44,7500,4,True
ugr16,july_to_august,0.2,nerisbotnet,7500,4,True
ugr16,july_to_august,0.01,background,30000,99,True
ugr16,july_to_august,0.01,dos,7500,99,True
ugr16,july_to_august,0.01,scan11,7500,99,True
ugr16,july_to_august,0.01,scan44,7500,99,True
ugr16,july_to_august,0.01,nerisbotnet,7500,99,True
