realization,rung,arch,seed,n_novel,n_seen,KS_all,KS_novel,KS_seen,median_novel_minus_src,misroute_all,misroute_novel,misroute_seen
0,0.0,mlp,12345,0,811,0.0368,,0.0368,,0.7152,,0.7152
0,0.0,mlp,1337,0,811,0.0359,,0.0359,,0.7349,,0.7349
0,0.0,mlp,2024,0,811,0.0166,,0.0166,,0.7472,,0.7472
0,0.0,mlp,3407,0,811,0.0355,,0.0355,,0.6843,,0.6843
0,0.0,mlp,42,0,811,0.027,,0.027,,0.6954,,0.6954
0,0.0,mlp,512,0,811,0.0305,,0.0305,,0.7411,,0.7411
0,0.0,mlp,6021,0,811,0.0264,,0.0264,,0.7965,,0.7965
0,0.0,mlp,7,0,811,0.0307,,0.0307,,0.6757,,0.6757
0,0.0,mlp,88,0,811,0.025,,0.025,,0.799,,0.799
0,0.0,mlp,91,0,811,0.0243,,0.0243,,0.746,,0.746
0,0.0,rf,12345,0,811,0.0384,,0.0384,,0.4365,,0.4365
0,0.0,rf,1337,0,811,0.0306,,0.0306,,0.4291,,0.4291
0,0.0,rf,2024,0,811,0.0379,,0.0379,,0.4377,,0.4377
0,0.0,rf,3407,0,811,0.0354,,0.0354,,0.4488,,0.4488
0,0.0,rf,42,0,811,0.0328,,0.0328,,0.4279,,0.4279
0,0.0,rf,512,0,811,0.0438,,0.0438,,0.439,,0.439
0,0.0,rf,6021,0,811,0.0544,,0.0544,,0.4316,,0.4316
0,0.0,rf,7,0,811,0.0416,,0.0416,,0.439,,0.439
0,0.0,rf,88,0,811,0.0331,,0.0331,,0.4476,,0.4476
0,0.0,rf,91,0,811,0.0491,,0.0491,,0.4414,,0.4414
0,0.0,xgb,12345,0,811,0.0253,,0.0253,,0.3946,,0.3946
0,0.0,xgb,1337,0,811,0.035,,0.035,,0.3909,,0.3909
0,0.0,xgb,2024,0,811,0.0318,,0.0318,,0.4155,,0.4155
0,0.0,xgb,3407,0,811,0.0346,,0.0346,,0.4057,,0.4057
0,0.0,xgb,42,0,811,0.0314,,0.0314,,0.4007,,0.4007
0,0.0,xgb,512,0,811,0.0257,,0.0257,,0.3872,,0.3872
0,0.0,xgb,6021,0,811,0.0255,,0.0255,,0.4118,,0.4118
0,0.0,xgb,7,0,811,0.0254,,0.0254,,0.4069,,0.4069
0,0.0,xgb,88,0,811,0.0331,,0.0331,,0.4057,,0.4057
0,0.0,xgb,91,0,811,0.0392,,0.0392,,0.397,,0.397
0,0.2,mlp,12345,162,649,0.0561,0.1174,0.055,-0.0263,0.7176,0.7346,0.7134
0,0.2,mlp,1337,162,649,0.0535,0.0962,0.0472,-0.0364,0.7448,0.7716,0.7381
0,0.2,mlp,2024,162,649,0.0289,0.1439,0.0224,-0.0261,0.7386,0.7407,0.7381
0,0.2,mlp,3407,162,649,0.0396,0.1682,0.0292,-0.0599,0.6794,0.6481,0.6872
0,0.2,mlp,42,162,649,0.036,0.1268,0.03,-0.022,0.6954,0.6975,0.6949
0,0.2,mlp,512,162,649,0.0309,0.095,0.0342,0.0014,0.7435,0.7963,0.7304
0,0.2,mlp,6021,162,649,0.0258,0.0815,0.0282,0.0134,0.8089,0.8704,0.7935
0,0.2,mlp,7,162,649,0.0444,0.112,0.0307,-0.0447,0.6757,0.6914,0.6718
0,0.2,mlp,88,162,649,0.0456,0.0698,0.0558,-0.0032,0.8052,0.8704,0.7889
0,0.2,mlp,91,162,649,0.0225,0.0864,0.0261,-0.0061,0.7448,0.7901,0.7334
0,0.2,rf,12345,162,649,0.047,0.1364,0.0427,-0.0395,0.4106,0.3827,0.4176
0,0.2,rf,1337,162,649,0.0403,0.1172,0.0272,-0.0404,0.4094,0.3889,0.4145
0,0.2,rf,2024,162,649,0.0304,0.1375,0.0388,-0.0443,0.434,0.3889,0.4453
0,0.2,rf,3407,162,649,0.0266,0.1414,0.0344,-0.0381,0.4254,0.3765,0.4376
0,0.2,rf,42,162,649,0.0292,0.1128,0.0299,-0.043,0.4069,0.3765,0.4145
0,0.2,rf,512,162,649,0.0363,0.1252,0.0418,-0.045,0.4131,0.3704,0.4237
0,0.2,rf,6021,162,649,0.034,0.1197,0.0395,-0.0555,0.4229,0.3951,0.4299
0,0.2,rf,7,162,649,0.0245,0.1301,0.0305,-0.0438,0.4242,0.3889,0.433
0,0.2,rf,88,162,649,0.0317,0.1254,0.0361,-0.0544,0.4229,0.3889,0.4314
0,0.2,rf,91,162,649,0.0349,0.1477,0.0478,-0.0597,0.4279,0.3827,0.4391
0,0.2,xgb,12345,162,649,0.0289,0.1344,0.0454,-0.0098,0.3983,0.4259,0.3914
0,0.2,xgb,1337,162,649,0.0285,0.1452,0.048,-0.0104,0.3884,0.3951,0.3867
0,0.2,xgb,2024,162,649,0.0229,0.1821,0.0479,-0.0214,0.397,0.3951,0.3975
0,0.2,xgb,3407,162,649,0.0301,0.1798,0.0406,-0.0087,0.3921,0.3827,0.3945
0,0.2,xgb,42,162,649,0.0247,0.1941,0.0377,-0.0185,0.3785,0.3519,0.3852
0,0.2,xgb,512,162,649,0.0284,0.1185,0.0321,-0.0078,0.3761,0.4198,0.3652
0,0.2,xgb,6021,162,649,0.02,0.1708,0.0478,-0.0124,0.397,0.3951,0.3975
0,0.2,xgb,7,162,649,0.0267,0.1449,0.0534,-0.0075,0.4044,0.4136,0.4022
0,0.2,xgb,88,162,649,0.0313,0.1252,0.0477,-0.0094,0.402,0.4074,0.4006
0,0.2,xgb,91,162,649,0.0164,0.1482,0.0436,-0.0123,0.3822,0.3642,0.3867
0,0.4,mlp,12345,324,487,0.0622,0.16,0.0394,-0.067,0.7201,0.6821,0.7454
0,0.4,mlp,1337,324,487,0.0667,0.1392,0.0381,-0.0409,0.7226,0.713,0.729
0,0.4,mlp,2024,324,487,0.0425,0.1013,0.0257,-0.0104,0.7583,0.7716,0.7495
0,0.4,mlp,3407,324,487,0.09,0.2271,0.0254,-0.1288,0.6621,0.5926,0.7084
0,0.4,mlp,42,324,487,0.0627,0.1594,0.0312,-0.0156,0.6893,0.6543,0.7125
0,0.4,mlp,512,324,487,0.06,0.1283,0.0451,-0.02,0.7423,0.75,0.7372
0,0.4,mlp,6021,324,487,0.0417,0.1017,0.0397,-0.0334,0.8138,0.8333,0.8008
0,0.4,mlp,7,324,487,0.078,0.1905,0.0338,-0.1262,0.6523,0.5988,0.6879
0,0.4,mlp,88,324,487,0.0554,0.0945,0.0467,0.0009,0.8348,0.892,0.7967
0,0.4,mlp,91,324,487,0.0661,0.1218,0.0373,-0.0484,0.7497,0.7407,0.7556
0,0.4,rf,12345,324,487,0.0565,0.0799,0.0418,-0.0369,0.418,0.4136,0.4209
0,0.4,rf,1337,324,487,0.0475,0.068,0.0451,-0.0281,0.4168,0.4198,0.4148
0,0.4,rf,2024,324,487,0.0402,0.0913,0.0456,-0.0378,0.4217,0.4043,0.4333
0,0.4,rf,3407,324,487,0.0374,0.0798,0.034,-0.0232,0.4242,0.4074,0.4353
0,0.4,rf,42,324,487,0.0463,0.0868,0.0289,-0.031,0.4106,0.4043,0.4148
0,0.4,rf,512,324,487,0.0419,0.076,0.0299,-0.0333,0.4217,0.4105,0.4292
0,0.4,rf,6021,324,487,0.0485,0.0792,0.0481,-0.0424,0.4118,0.4136,0.4107
0,0.4,rf,7,324,487,0.0488,0.0772,0.0423,-0.0403,0.4168,0.4074,0.423
0,0.4,rf,88,324,487,0.0549,0.0948,0.0405,-0.0384,0.4192,0.4074,0.4271
0,0.4,rf,91,324,487,0.0638,0.1112,0.0418,-0.0492,0.4131,0.4012,0.4209
0,0.4,xgb,12345,324,487,0.0694,0.16,0.0347,-0.0105,0.3785,0.3827,0.3758
0,0.4,xgb,1337,324,487,0.0384,0.1285,0.0433,-0.0105,0.3859,0.3858,0.386
0,0.4,xgb,2024,324,487,0.0646,0.1528,0.0322,-0.0138,0.3859,0.3827,0.3881
0,0.4,xgb,3407,324,487,0.0655,0.1606,0.0267,-0.0086,0.3872,0.392,0.384
0,0.4,xgb,42,324,487,0.0513,0.1477,0.0368,-0.0124,0.3785,0.3827,0.3758
0,0.4,xgb,512,324,487,0.0475,0.1206,0.023,-0.0131,0.3761,0.3827,0.3717
0,0.4,xgb,6021,324,487,0.0622,0.1434,0.031,-0.011,0.3921,0.3951,0.3901
0,0.4,xgb,7,324,487,0.0377,0.1134,0.0392,-0.0066,0.4094,0.4259,0.3984
0,0.4,xgb,88,324,487,0.0437,0.095,0.0257,-0.003,0.4007,0.4259,0.384
0,0.4,xgb,91,324,487,0.0587,0.1326,0.0352,-0.0113,0.381,0.3889,0.3758
0,0.6,mlp,12345,487,324,0.0439,0.0828,0.0362,-0.0153,0.7583,0.768,0.7438
0,0.6,mlp,1337,487,324,0.0523,0.0945,0.0576,-0.0269,0.7608,0.7659,0.7531
0,0.6,mlp,2024,487,324,0.0511,0.0784,0.0724,0.0134,0.7916,0.8193,0.75
0,0.6,mlp,3407,487,324,0.1041,0.1518,0.0521,-0.0728,0.6708,0.6674,0.6759
0,0.6,mlp,42,487,324,0.0625,0.107,0.0452,-0.0079,0.7201,0.7248,0.713
0,0.6,mlp,512,487,324,0.0501,0.0772,0.0293,-0.0079,0.7842,0.8049,0.7531
0,0.6,mlp,6021,487,324,0.0716,0.1132,0.0485,0.002,0.8631,0.9055,0.7994
0,0.6,mlp,7,487,324,0.0899,0.15,0.0483,-0.0475,0.6646,0.6509,0.6852
0,0.6,mlp,88,487,324,0.0636,0.1048,0.029,0.0119,0.8582,0.9035,0.7901
0,0.6,mlp,91,487,324,0.0503,0.0647,0.0336,-0.0018,0.7731,0.8029,0.7284
0,0.6,rf,12345,487,324,0.0588,0.0952,0.0289,-0.0378,0.4131,0.4086,0.4198
0,0.6,rf,1337,487,324,0.0657,0.102,0.0415,-0.0454,0.4069,0.3943,0.4259
0,0.6,rf,2024,487,324,0.0531,0.0966,0.0435,-0.0411,0.4155,0.4086,0.4259
0,0.6,rf,3407,487,324,0.057,0.0993,0.0376,-0.0343,0.4057,0.3963,0.4198
0,0.6,rf,42,487,324,0.0655,0.0983,0.0418,-0.0365,0.3909,0.3901,0.392
0,0.6,rf,512,487,324,0.0656,0.1021,0.0371,-0.0363,0.4044,0.3963,0.4167
0,0.6,rf,6021,487,324,0.0723,0.1057,0.0541,-0.0463,0.4007,0.4025,0.3981
0,0.6,rf,7,487,324,0.0635,0.0909,0.0356,-0.0367,0.4168,0.4127,0.4228
0,0.6,rf,88,487,324,0.0571,0.1048,0.0381,-0.0373,0.4192,0.4127,0.429
0,0.6,rf,91,487,324,0.0724,0.1198,0.0307,-0.0511,0.4081,0.3984,0.4228
0,0.6,xgb,12345,487,324,0.067,0.121,0.0514,-0.0081,0.3921,0.4004,0.3796
0,0.6,xgb,1337,487,324,0.059,0.1069,0.0433,-0.0099,0.3909,0.4045,0.3704
0,0.6,xgb,2024,487,324,0.0641,0.1266,0.0715,-0.0047,0.4007,0.4066,0.392
0,0.6,xgb,3407,487,324,0.0808,0.1361,0.0525,-0.0086,0.3909,0.4025,0.3735
0,0.6,xgb,42,487,324,0.068,0.125,0.0553,-0.0121,0.3946,0.3943,0.3951
0,0.6,xgb,512,487,324,0.075,0.121,0.0381,-0.0131,0.3761,0.3819,0.3673
0,0.6,xgb,6021,487,324,0.0712,0.1254,0.0493,-0.0037,0.402,0.4066,0.3951
0,0.6,xgb,7,487,324,0.0749,0.1193,0.0549,-0.0068,0.4032,0.4107,0.392
0,0.6,xgb,88,487,324,0.0629,0.1104,0.0444,-0.0088,0.402,0.4086,0.392
0,0.6,xgb,91,487,324,0.0714,0.1108,0.0649,-0.0038,0.3785,0.3984,0.3488
0,0.8,mlp,12345,649,162,0.1286,0.1565,0.0778,-0.0433,0.6967,0.6934,0.7099
0,0.8,mlp,1337,649,162,0.0874,0.0962,0.0628,-0.036,0.7485,0.7581,0.7099
0,0.8,mlp,2024,649,162,0.0736,0.0865,0.0426,-0.0073,0.7891,0.7982,0.7531
0,0.8,mlp,3407,649,162,0.1621,0.1874,0.0704,-0.144,0.6301,0.6225,0.6605
0,0.8,mlp,42,649,162,0.1106,0.1299,0.0797,-0.0182,0.6856,0.6872,0.679
0,0.8,mlp,512,649,162,0.0908,0.0983,0.0685,-0.0229,0.7694,0.7827,0.716
0,0.8,mlp,6021,649,162,0.056,0.0739,0.0533,-0.0065,0.8434,0.8505,0.8148
0,0.8,mlp,7,649,162,0.1432,0.1668,0.0597,-0.0681,0.6313,0.6256,0.6543
0,0.8,mlp,88,649,162,0.0809,0.096,0.0549,0.0028,0.8792,0.8937,0.821
0,0.8,mlp,91,649,162,0.0891,0.1101,0.0716,-0.0188,0.7559,0.7581,0.7469
0,0.8,rf,12345,649,162,0.1373,0.1485,0.0976,-0.0565,0.3674,0.3652,0.3765
0,0.8,rf,1337,649,162,0.1091,0.1246,0.0514,-0.0504,0.3872,0.3821,0.4074
0,0.8,rf,2024,649,162,0.1299,0.1491,0.0605,-0.0534,0.3724,0.3683,0.3889
0,0.8,rf,3407,649,162,0.0985,0.1149,0.053,-0.0354,0.3946,0.3914,0.4074
0,0.8,rf,42,649,162,0.1203,0.1384,0.0579,-0.0434,0.36,0.3575,0.3704
0,0.8,rf,512,649,162,0.1157,0.1297,0.0713,-0.0468,0.3921,0.3883,0.4074
0,0.8,rf,6021,649,162,0.1132,0.1383,0.0377,-0.0576,0.3896,0.3775,0.4383
0,0.8,rf,7,649,162,0.1219,0.1344,0.0894,-0.0452,0.3773,0.376,0.3827
0,0.8,rf,88,649,162,0.125,0.1497,0.0449,-0.0598,0.3946,0.3821,0.4444
0,0.8,rf,91,649,162,0.1346,0.1612,0.0515,-0.0605,0.381,0.3698,0.4259
