arch,seed,cls,n_cal,q_source,cal_median,tgt_median,frac_tgt_above_q,tgt_p01,tgt_frac_near1
mlp,12345,Normal,10101,0.9480291427345424,0.4939786380654577,0.5056840683214102,0.07053856451446813,0.009931468993656888,0.020698177324683348
mlp,12345,DoS,6889,0.9508993734206169,0.5063650194830396,0.6045399648952039,0.21193029490616622,0.012267598851615328,0.1388739946380697
mlp,12345,Probe,1748,0.9514858663229134,0.5010675504137057,0.7164470394228101,0.27261462205700127,0.013193800300321242,0.18463444857496902
mlp,12345,R2L,149,0.9889443689346225,0.517120406981979,0.9999665354728177,0.8478336221837088,0.049344864868471276,0.8277296360485269
mlp,12345,U2R,7,inf,0.6995043396304843,0.9989489589355167,0.0,0.04766524008300319,0.4925373134328358
mlp,1337,Normal,10101,0.9463811430253976,0.5026027045980171,0.5203833295939168,0.07373082071877253,0.009564762632121344,0.0182267531665122
mlp,1337,DoS,6889,0.9478527481454462,0.5019080311063849,0.6256475466639893,0.2561662198391421,0.012738936247098598,0.1225201072386059
mlp,1337,Probe,1748,0.9463559150007357,0.49950363772042733,0.7244196653524523,0.3205287071458075,0.011141056294933354,0.19578686493184635
mlp,1337,R2L,149,0.9908567942087035,0.5350540410878666,0.9999999552971109,0.8662045060658579,0.47701722726374757,0.8450606585788561
mlp,1337,U2R,7,inf,0.5704187279421385,0.9984767130098806,0.0,0.08342006079483502,0.47761194029850745
mlp,2024,Normal,10101,0.9447942239505819,0.5013968411108612,0.5079820846606963,0.07280403665945835,0.009827516925217494,0.015446400988569663
mlp,2024,DoS,6889,0.9448044214595847,0.49243664566168127,0.6278343838668345,0.21849865951742628,0.01567427336942503,0.09423592493297588
mlp,2024,Probe,1748,0.9507836690073709,0.49467486255957205,0.7795846182730531,0.3577034283353986,0.01141270918052484,0.1590251961999174
mlp,2024,R2L,149,0.9875694178239676,0.5420501248622611,0.9999999449344921,0.8637781629116118,0.6572612971618261,0.8519930675909879
mlp,2024,U2R,7,inf,0.7591923671148836,0.9969737548609361,0.0,0.007342523314907809,0.417910447761194
mlp,3407,Normal,10101,0.9460003540829323,0.4995141461447907,0.5101491036600712,0.07228915662650602,0.009889410458030257,0.019153537225826384
mlp,3407,DoS,6889,0.9494055773942001,0.49645778340170343,0.6142505741941064,0.21380697050938338,0.01146549340419801,0.12788203753351207
mlp,3407,Probe,1748,0.9444393617095359,0.4981561030057575,0.813569019866156,0.4031391986782321,0.017212760914408688,0.19661296984717058
mlp,3407,R2L,149,0.9729194621386777,0.5079078992922984,1.000000000000115,0.8890814558058926,0.49156368595932265,0.8772963604852686
mlp,3407,U2R,7,inf,0.23448084501613442,0.9999999834690596,0.0,0.0794220913613751,0.5970149253731343
mlp,42,Normal,10101,0.9473384013658019,0.5004755983332954,0.5079120300092438,0.07249510863968696,0.009116218244411126,0.019256513232416846
mlp,42,DoS,6889,0.9514907544814367,0.497128809888717,0.6271509797827168,0.23418230563002682,0.012664347691401684,0.1319034852546917
mlp,42,Probe,1748,0.9480062580317432,0.5067793582535418,0.7757222638759141,0.3440726972325485,0.019320483937704885,0.1681123502684841
