arch,seed,cls,n,p_true_median,frac_p_true_lt_001,frac_p_true_lt_1e6,accuracy,frac_confident_wrong
mlp,12345,Normal,9711,0.9999463558197021,0.01977139326536917,0.01977139326536917,0.9753887344248791,0.022242817423540315
mlp,12345,DoS,7460,0.9999463558197021,0.13780160857908846,0.13766756032171582,0.8072386058981234,0.16380697050938337
mlp,12345,Probe,2421,0.9999463558197021,0.2023957042544403,0.09417596034696406,0.6943411813300289,0.2218091697645601
mlp,12345,R2L,2885,5.3648069297196344e-05,0.8277296360485269,0.0,0.09116117850953206,0.804159445407279
mlp,12345,U2R,67,0.002868914743885398,0.7164179104477612,0.44776119402985076,0.11940298507462686,0.6865671641791045
mlp,1337,Normal,9711,1.0,0.017299969107198023,0.017299969107198023,0.976727422510555,0.019462465245597776
mlp,1337,DoS,7460,1.0,0.1193029490616622,0.1193029490616622,0.7792225201072386,0.20817694369973191
mlp,1337,Probe,2421,0.9866236448287964,0.22676579925650558,0.19372160264353572,0.6489054109871953,0.26435357290375877
mlp,1337,R2L,2885,1.0001836598522162e-12,0.8655112651646447,0.6436741767764298,0.020450606585788563,0.8637781629116118
mlp,1337,U2R,67,0.004149009007960558,0.5970149253731343,0.13432835820895522,0.26865671641791045,0.5671641791044776
mlp,2024,Normal,9711,1.0,0.017814849140150343,0.014107712902893626,0.976727422510555,0.02213984141694985
mlp,2024,DoS,7460,0.9999836683273315,0.17037533512064343,0.08941018766756033,0.7806970509383379,0.164343163538874
mlp,2024,Probe,2421,0.9840580224990845,0.21189591078066913,0.0,0.6100784799669559,0.2940933498554316
mlp,2024,R2L,2885,1.0029619279192103e-12,0.8540727902946273,0.5292894280762565,0.011091854419410746,0.8291161178509532
mlp,2024,U2R,67,0.003046900499612093,0.5223880597014925,0.40298507462686567,0.2835820895522388,0.5522388059701493
mlp,3407,Normal,9711,1.0,0.018432705179693133,0.018432705179693133,0.9760065904644218,0.01935948923900731
mlp,3407,DoS,7460,1.0,0.12761394101876675,0.1257372654155496,0.8105898123324397,0.16849865951742626
mlp,3407,Probe,2421,0.870270311832428,0.29285419248244526,0.1771995043370508,0.5679471292854192,0.31061544816191655
mlp,3407,R2L,2885,9.999999960041972e-13,0.878682842287695,0.58578856152513,0.015944540727902946,0.8256499133448874
mlp,3407,U2R,67,9.999999960041972e-13,0.7164179104477612,0.5522388059701493,0.23880597014925373,0.6268656716417911
mlp,42,Normal,9711,0.9999388456344604,0.0182267531665122,0.0182267531665122,0.9759036144578314,0.02121305735763567
mlp,42,DoS,7460,0.9999388456344604,0.128686327077748,0.128686327077748,0.7761394101876675,0.1876675603217158
mlp,42,Probe,2421,0.9995110034942627,0.1751342420487402,0.16398182569186287,0.6121437422552665,0.2940933498554316
mlp,42,R2L,2885,7.621780969202518e-05,0.8689774696707105,0.0,0.01802426343154246,0.8558058925476603
mlp,42,U2R,67,0.021276596933603287,0.44776119402985076,0.417910447761194,0.2537313432835821,0.5671641791044776
mlp,512,Normal,9711,1.0,0.018535681186283594,0.018535681186283594,0.9747708783853363,0.0228606734630831
mlp,512,DoS,7460,1.0,0.1596514745308311,0.12439678284182305,0.820911528150134,0.1760053619302949
mlp,512,Probe,2421,0.9691899418830872,0.19454770755885997,0.09871953738124742,0.6699710863279636,0.24122263527467988
mlp,512,R2L,2885,1.0008901259878078e-12,0.8679376083188908,0.5469670710571923,0.0755632582322357,0.8377816291161179
mlp,512,U2R,67,0.005055557005107403,0.6716417910447762,0.29850746268656714,0.16417910447761194,0.6268656716417911
mlp,6021,Normal,9711,1.0,0.015549376995160128,0.006487488415199258,0.9775512305632788,0.01750592112037895
mlp,6021,DoS,7460,0.9995827674865723,0.10723860589812333,0.10723860589812333,0.7894101876675603,0.20455764075067023
mlp,6021,Probe,2421,0.9773144125938416,0.21065675340768278,0.1144155307724081,0.620817843866171,0.2833539859562164
mlp,6021,R2L,2885,0.000691134249791503,0.8090121317157712,0.4409012131715771,0.010398613518197574,0.8353552859618717
mlp,6021,U2R,67,0.00537295825779438,0.5373134328358209,0.3283582089552239,0.373134328358209,0.4925373134328358
mlp,7,Normal,9711,1.0,0.016167233034702914,0.016167233034702914,0.9758006384512409,0.018947585212645453
mlp,7,DoS,7460,1.0,0.14343163538873996,0.10080428954423593,0.828686327077748,0.14396782841823055
mlp,7,Probe,2421,0.9850726127624512,0.23378769103676167,0.12928541924824452,0.6142090045435771,0.3159851301115242
mlp,7,R2L,2885,0.0006238704081624746,0.8523396880415944,0.49116117850953206,0.011091854419410746,0.8273830155979203
mlp,7,U2R,67,0.0009266840643249452,0.5970149253731343,0.34328358208955223,0.3283582089552239,0.4925373134328358
mlp,88,Normal,9711,1.0,0.020389249304911955,0.019668417258778704,0.9749768303985171,0.023684481515806818
mlp,88,DoS,7460,1.0,0.11809651474530831,0.11796246648793565,0.8190348525469169,0.15737265415549598
mlp,88,Probe,2421,0.9915891885757446,0.22924411400247832,0.2271788517141677,0.6067740603056588,0.24948368442792235
mlp,88,R2L,2885,9.999999960041972e-13,0.8682842287694974,0.5719237435008665,0.012131715771230503,0.8103986135181975
mlp,88,U2R,67,0.002937382785603404,0.5223880597014925,0.34328358208955223,0.23880597014925373,0.6119402985074627
mlp,91,Normal,9711,0.9998843669891357,0.017608897126969416,0.01699104108742663,0.9766244465039646,0.02028627329832149
mlp,91,DoS,7460,0.9998843669891357,0.1593833780160858,0.10817694369973191,0.8363270777479893,0.14892761394101878
mlp,91,Probe,2421,0.9937740564346313,0.24948368442792235,0.0,0.6084262701363073,0.26270136307311026
mlp,91,R2L,2885,5.376615808927454e-05,0.7871750433275563,0.0,0.051299826689774695,0.7660311958405546
mlp,91,U2R,67,0.0007252859068103135,0.5671641791044776,0.2537313432835821,0.23880597014925373,0.6268656716417911
rf,12345,Normal,9711,0.999946653842926,0.023478529502625887,0.023478529502625887,0.9713726701678509,0.0260529296673875
rf,12345,DoS,7460,0.999946653842926,0.17158176943699732,0.17158176943699732,0.7533512064343163,0.15576407506702414
rf,12345,Probe,2421,0.999946653842926,0.11317637339942173,0.11317637339942173,0.7244940107393639,0.11937216026435357
rf,12345,R2L,2885,5.405882257036865e-05,0.9161178509532062,0.0,0.06239168110918544,0.8714038128249567
rf,12345,U2R,67,0.10119348764419556,0.3880597014925373,0.3880597014925373,0.08955223880597014,0.3880597014925373
rf,1337,Normal,9711,1.0,0.023787457522397283,0.023787457522397283,0.9709607661414891,0.02492019359489239
rf,1337,DoS,7460,1.0,0.17399463806970508,0.17399463806970508,0.7762734584450403,0.16072386058981233
rf,1337,Probe,2421,1.0,0.11028500619578686,0.11028500619578686,0.7368855844692276,0.15985130111524162
rf,1337,R2L,2885,0.0036496350076049566,0.9282495667244367,0.394107452339688,0.05407279029462738,0.9067590987868285
rf,1337,U2R,67,0.06738962233066559,0.34328358208955223,0.34328358208955223,0.07462686567164178,0.8507462686567164
rf,2024,Normal,9711,1.0,0.023787457522397283,0.023787457522397283,0.9706518381217176,0.0260529296673875
rf,2024,DoS,7460,1.0,0.17386058981233243,0.17386058981233243,0.7652815013404826,0.15080428954423591
rf,2024,Probe,2421,0.9984639286994934,0.12804626187525817,0.12804626187525817,0.7360594795539034,0.12763320941759604
rf,2024,R2L,2885,0.0015581659972667694,0.9237435008665511,0.27625649913344885,0.05545927209705372,0.8710571923743501
rf,2024,U2R,67,0.07227730005979538,0.40298507462686567,0.40298507462686567,0.05970149253731343,0.8208955223880597
rf,3407,Normal,9711,1.0,0.023890433528987745,0.023890433528987745,0.9716815981876222,0.025949953660797033
rf,3407,DoS,7460,1.0,0.1733243967828418,0.1733243967828418,0.7741286863270778,0.1626005361930295
rf,3407,Probe,2421,1.0,0.08426270136307311,0.08426270136307311,0.7054935976869062,0.1623296158612144
rf,3407,R2L,2885,0.0025510203558951616,0.9348353552859618,0.42287694974003465,0.061351819757365686,0.9112651646447141
rf,3407,U2R,67,0.07779546082019806,0.3582089552238806,0.3582089552238806,0.08955223880597014,0.8507462686567164
rf,42,Normal,9711,1.0,0.023375553496035425,0.023375553496035425,0.9710637421480794,0.02625888168056843
rf,42,DoS,7460,1.0,0.15603217158176944,0.15603217158176944,0.7711796246648793,0.14142091152815014
rf,42,Probe,2421,0.9984639286994934,0.09211069805865345,0.09211069805865345,0.7149938042131351,0.164394878149525
rf,42,R2L,2885,0.00154827069491148,0.9344887348353553,0.24090121317157712,0.05407279029462738,0.8866551126516464
rf,42,U2R,67,0.10152067989110947,0.3582089552238806,0.3582089552238806,0.08955223880597014,0.3582089552238806
rf,512,Normal,9711,1.0,0.023684481515806818,0.023684481515806818,0.9711667181546699,0.0260529296673875
rf,512,DoS,7460,1.0,0.15402144772117962,0.1532171581769437,0.7680965147453083,0.14906166219839143
rf,512,Probe,2421,1.0,0.15737298636926889,0.15737298636926889,0.7232548533663775,0.15448161916563405
rf,512,R2L,2885,0.001531224581412971,0.92894280762565,0.17712305025996533,0.05268630849220104,0.9095320623916812
rf,512,U2R,67,0.07750897109508514,0.3582089552238806,0.3582089552238806,0.04477611940298507,0.835820895522388
rf,6021,Normal,9711,1.0,0.023581505509216352,0.023581505509216352,0.9702399340953558,0.026464833693749357
rf,6021,DoS,7460,1.0,0.1722520107238606,0.1722520107238606,0.7758713136729223,0.16273458445040215
rf,6021,Probe,2421,1.0,0.09211069805865345,0.09211069805865345,0.7377116893845518,0.17596034696406443
rf,6021,R2L,2885,0.0026041667442768812,0.8963604852686309,0.33518197573656844,0.07001733102253033,0.8755632582322357
rf,6021,U2R,67,0.1014212965965271,0.417910447761194,0.417910447761194,0.08955223880597014,0.417910447761194
rf,7,Normal,9711,1.0,0.023684481515806818,0.023684481515806818,0.9716815981876222,0.024611265575120996
rf,7,DoS,7460,1.0,0.14597855227882037,0.14584450402144772,0.7746648793565684,0.13860589812332438
rf,7,Probe,2421,1.0,0.09004543577034284,0.09004543577034284,0.7240809582817018,0.14745972738537794
rf,7,R2L,2885,0.0028837621212005615,0.9310225303292894,0.30953206239168113,0.06169844020797227,0.8925476603119584
rf,7,U2R,67,0.20259226858615875,0.417910447761194,0.417910447761194,0.08955223880597014,0.417910447761194
rf,88,Normal,9711,1.0,0.023787457522397283,0.023787457522397283,0.9710637421480794,0.025229121614663782
rf,88,DoS,7460,1.0,0.16595174262734586,0.16595174262734586,0.7666219839142091,0.15951742627345844
rf,88,Probe,2421,1.0,0.09500206526228831,0.09500206526228831,0.7393638992152003,0.15117719950433706
rf,88,R2L,2885,0.0025050363037735224,0.9369150779896014,0.3057192374350087,0.06239168110918544,0.8863084922010399
rf,88,U2R,67,0.12699058651924133,0.417910447761194,0.417910447761194,0.07462686567164178,0.43283582089552236
rf,91,Normal,9711,1.0,0.023478529502625887,0.023478529502625887,0.9711667181546699,0.024199361548759138
rf,91,DoS,7460,1.0,0.14892761394101878,0.14865951742627345,0.7810991957104557,0.12372654155495978
rf,91,Probe,2421,1.0,0.10945890128046262,0.10945890128046262,0.7554729450640232,0.10408921933085502
rf,91,R2L,2885,0.0015151514671742916,0.9424610051993068,0.30779896013864816,0.053032928942807624,0.8641247833622183
rf,91,U2R,67,0.1009703129529953,0.373134328358209,0.373134328358209,0.08955223880597014,0.40298507462686567
xgb,12345,Normal,9711,1.0,0.027288641746473073,0.027288641746473073,0.9698280300689939,0.027391617753063535
xgb,12345,DoS,7460,1.0,0.1742627345844504,0.17359249329758714,0.8113941018766756,0.13753351206434317
xgb,12345,Probe,2421,1.0,0.1482858323007022,0.1466336224700537,0.7141676992978109,0.1536555142503098
xgb,12345,R2L,2885,0.0007462686626240611,0.8987868284228769,0.19133448873483536,0.057538994800693244,0.8450606585788561
xgb,12345,U2R,67,1.0200556762110513e-12,0.5373134328358209,0.5373134328358209,0.1044776119402985,0.7164179104477612
xgb,1337,Normal,9711,1.0,0.026876737720111215,0.026876737720111215,0.9697250540624035,0.026876737720111215
xgb,1337,DoS,7460,1.0,0.19075067024128686,0.19075067024128686,0.7883378016085791,0.16554959785522788
xgb,1337,Probe,2421,1.0,0.15406856670797192,0.1536555142503098,0.6844279223461379,0.2218091697645601
xgb,1337,R2L,2885,0.0009775171056389809,0.8707105719237435,0.21178509532062392,0.057538994800693244,0.8599653379549393
xgb,1337,U2R,67,1.08974580661364e-12,0.5373134328358209,0.5373134328358209,0.1044776119402985,0.6567164179104478
xgb,2024,Normal,9711,1.0,0.026567809700339822,0.026567809700339822,0.9710637421480794,0.027391617753063535
xgb,2024,DoS,7460,1.0,0.17171581769436997,0.17171581769436997,0.8029490616621984,0.14396782841823055
xgb,2024,Probe,2421,1.0,0.1718298223874432,0.1718298223874432,0.6943411813300289,0.16852540272614622
xgb,2024,R2L,2885,0.001010101055726409,0.8589254766031196,0.20173310225303293,0.07417677642980935,0.8211438474870018
xgb,2024,U2R,67,0.0439421683549881,0.4626865671641791,0.4626865671641791,0.1044776119402985,0.6716417910447762
xgb,3407,Normal,9711,1.0,0.026670785706930284,0.026670785706930284,0.9699310060755844,0.02677376171352075
xgb,3407,DoS,7460,1.0,0.18458445040214477,0.18431635388739948,0.8050938337801609,0.15656836461126006
xgb,3407,Probe,2421,1.0,0.16852540272614622,0.1681123502684841,0.7356464270962412,0.16604708798017348
xgb,3407,R2L,2885,0.001022494863718748,0.9088388214904679,0.2710571923743501,0.05649913344887349,0.8547660311958406
xgb,3407,U2R,67,0.029670266434550285,0.40298507462686567,0.40298507462686567,0.208955223880597,0.7164179104477612
xgb,42,Normal,9711,1.0,0.026670785706930284,0.026670785706930284,0.9700339820821748,0.026670785706930284
