subtype,broad_class
apache2,DoS
back,DoS
buffer_overflow,U2R
ftp_write,R2L
guess_passwd,R2L
httptunnel,R2L
imap,R2L
ipsweep,Probe
land,DoS
loadmodule,U2R
mailbomb,DoS
mscan,Probe
multihop,R2L
named,R2L
neptune,DoS
nmap,Probe
normal,Normal
perl,U2R
phf,R2L
pod,DoS
portsweep,Probe
processtable,DoS
ps,U2R
rootkit,U2R
saint,Probe
satan,Probe
sendmail,R2L
smurf,DoS
snmpgetattack,R2L
snmpguess,R2L
spy,R2L
sqlattack,U2R
teardrop,DoS
udpstorm,DoS
warezclient,R2L
warezmaster,R2L
worm,DoS
xlock,R2L
xsnoop,R2L
xterm,U2R
