remedy,rung,cov_focal,set_focal,cov_marg,set_mean
ACI_no_labels,0.0,0.1496,2.1208,0.8305,1.9888
ACI_no_labels,0.2,0.1054,2.0975,0.7651,2.0054
ACI_no_labels,0.4,0.0893,2.0792,0.7183,2.0196
ACI_no_labels,0.6,0.0634,2.0595,0.6298,2.0126
ACI_no_labels,0.8,0.0349,2.0657,0.6115,2.0857
ACI_with_labels,0.0,0.7957,3.032,0.9483,2.7364
ACI_with_labels,0.2,0.9484,3.9396,0.948,3.7591
ACI_with_labels,0.4,0.9622,4.2053,0.9478,4.0733
ACI_with_labels,0.6,0.9928,4.6287,0.9476,4.4931
ACI_with_labels,0.8,0.9921,4.6092,0.9477,4.552
EntropyAdapt,0.0,0.0872,1.9917,0.8188,1.9576
EntropyAdapt,0.2,0.0659,1.9798,0.7611,1.9572
EntropyAdapt,0.4,0.0495,1.9718,0.7012,1.9587
EntropyAdapt,0.6,0.0336,1.9665,0.6446,1.9584
EntropyAdapt,0.8,0.016,1.96,0.5622,1.9601
SHC,0.0,0.1431,2.1138,0.8298,1.9871
SHC,0.2,0.1139,2.1195,0.7802,2.0109
SHC,0.4,0.0848,2.0756,0.7269,2.0276
SHC,0.6,0.0582,2.0628,0.6716,2.0353
SHC,0.8,0.0298,2.0448,0.606,2.0786
TSC_oracle,0.0,0.9544,3.0909,0.9514,2.7287
TSC_oracle,0.2,0.9547,3.6634,0.9521,3.3303
TSC_oracle,0.4,0.9533,3.9975,0.952,3.8504
TSC_oracle,0.6,0.9526,4.1173,0.9519,3.9823
TSC_oracle,0.8,0.9531,4.6779,0.9511,4.5664
WeightedCP,0.0,0.4272,1.6189,0.8653,1.2906
WeightedCP,0.2,0.3964,1.6216,0.8159,1.3431
WeightedCP,0.4,0.361,1.5512,0.7616,1.3678
WeightedCP,0.6,0.2089,1.4077,0.6905,1.306
WeightedCP,0.8,0.1637,1.3469,0.6248,1.3683
