dataset,rung,class,arch,seed,realization,q_src,F_src_at_q,F_tgt_at_q,signed_displacement_at_q,calibration_slack,undercoverage,KS_two_sided,KS_location,one_sided_up,one_sided_down,tail_mass_above_q_target,quantile_displacement,frac_of_KS_realised_at_q,n_src,n_tgt
nslkdd,0.8,Normal,mlp,12345,0,0.4999731779098511,0.9973269973269974,0.9771825396825397,0.020144457644457714,-0.04732699732699741,-0.027182539682539697,0.04992286242286241,0.4999731481075287,0.04992286242286241,0.004471504471504471,0.022817460317460347,0.0,0.40351167114232744,10101,1008
nslkdd,0.8,DoS,mlp,12345,0,0.4999731779098511,0.9991290463057048,0.42875647668393785,0.570372569621767,-0.049129046305704804,0.5212435233160622,0.570372569621767,0.4999731779098511,0.570372569621767,0.19320674921422376,0.5712435233160622,0.5000268492554378,1.0,6889,772
nslkdd,0.8,Probe,mlp,12345,0,0.4999731779098511,0.9897025171624714,0.6024096385542169,0.38729287860825445,-0.03970251716247142,0.34759036144578304,0.38729287860825445,0.4999731779098511,0.38729287860825445,0.09590536057272567,0.3975903614457831,0.500026825980648,1.0,1748,249
nslkdd,0.8,R2L,mlp,12345,0,0.9905286473222077,0.959731543624161,0.057432432432432436,0.9022991111917286,-0.009731543624161065,0.8925675675675675,0.9123435516052966,0.9939015209674835,0.9123435516052966,0.0034690730999455844,0.9425675675675675,0.00944456552315387,0.9889905064864059,149,296
nslkdd,0.8,Normal,mlp,12345,1,0.4999731779098511,0.9973269973269974,0.9791666666666666,0.018160330660330737,-0.04732699732699741,-0.029166666666666674,0.04694667194667193,0.4999731481075287,0.04694667194667193,0.002784377784377784,0.02083333333333337,0.0,0.38682892540198754,10101,1008
nslkdd,0.8,DoS,mlp,12345,1,0.4999731779098511,0.9991290463057048,0.3735408560311284,0.6255881902745764,-0.049129046305704804,0.5764591439688715,0.6255881902745764,0.4999731779098511,0.6255881902745764,0.14807493063529725,0.6264591439688716,0.500026858081174,1.0,6889,771
nslkdd,0.8,Probe,mlp,12345,1,0.4999731779098511,0.9897025171624714,0.6370967741935484,0.352605742968923,-0.03970251716247142,0.3129032258064516,0.352605742968923,0.4999731779098511,0.352605742968923,0.09813980955193032,0.3629032258064516,0.5000268492564404,1.0,1748,248
nslkdd,0.8,R2L,mlp,12345,1,0.9905286473222077,0.959731543624161,0.050505050505050504,0.9092264931191105,-0.009731543624161065,0.8994949494949495,0.9192823085440536,0.9939015209674835,0.9192823085440536,0.01012360743904368,0.9494949494949495,0.009444569408515235,0.989061232516408,149,297
nslkdd,0.8,Normal,mlp,12345,2,0.4999731779098511,0.9973269973269974,0.9682539682539683,0.02907302907302911,-0.04732699732699741,-0.0182539682539683,0.06877206877206876,0.4999731481075287,0.06877206877206876,0.0006950631950631951,0.031746031746031744,0.0,0.42274472168906013,10101,1008
nslkdd,0.8,DoS,mlp,12345,2,0.4999731779098511,0.9991290463057048,0.42153047989623865,0.577598566409466,-0.049129046305704804,0.5284695201037612,0.577598566409466,0.4999731779098511,0.577598566409466,0.1888442617688418,0.5784695201037613,0.5000268492554378,1.0,6889,771
